acceleration,deceleration,minGap,lcSpeedGain,lcCooperative,lcPushy,lcStrategic,lcAssertive,PMx
4.41,11.074,1.164,4.296,0.424,0.76,2.662,2.349,26414.007816999998
4.598,9.363,1.164,4.296,0.424,0.76,2.662,2.349,25852.080392999997
4.598,11.074,0.829,4.296,0.424,0.76,2.662,2.349,25516.267984
4.598,11.074,1.164,0.569,0.424,0.76,2.662,2.349,19845.404097
4.598,11.074,1.164,4.296,0.467,0.76,2.662,2.349,25820.668539000002
4.598,11.074,1.164,4.296,0.424,0.17,2.662,2.349,26311.216377
4.598,11.074,1.164,4.296,0.424,0.76,3.261,2.349,25749.834279000002
4.598,11.074,1.164,4.296,0.424,0.76,2.662,0.112,17896.92974
4.598,11.074,1.164,4.296,0.424,0.76,2.662,2.349,25484.965449000003
4.598,6.176,2.135,4.71,0.561,0.889,4.921,1.284,25314.532961
5.16,6.176,2.135,4.71,0.561,0.889,4.921,1.284,25195.679638
4.598,7.512,2.135,4.71,0.561,0.889,4.921,1.284,25763.681945000004
4.598,6.176,1.232,4.71,0.561,0.889,4.921,1.284,24676.569287
4.598,6.176,2.135,3.137,0.561,0.889,4.921,1.284,24390.435879
4.598,6.176,2.135,4.71,0.58,0.889,4.921,1.284,25231.892343
4.598,6.176,2.135,4.71,0.561,0.979,4.921,1.284,25873.463232
4.598,6.176,2.135,4.71,0.561,0.889,5.059,1.284,25510.933383000003
4.598,6.176,2.135,4.71,0.561,0.889,4.921,0.396,25450.523465000002
4.598,7.512,1.232,3.137,0.58,0.979,5.059,0.396,25503.474648
5.16,6.176,1.232,3.137,0.58,0.979,5.059,0.396,17280.730116
5.16,7.512,2.135,3.137,0.58,0.979,5.059,0.396,16892.318603
5.16,7.512,1.232,4.71,0.58,0.979,5.059,0.396,26107.861854000002
5.16,7.512,1.232,3.137,0.561,0.979,5.059,0.396,24198.470483
5.16,7.512,1.232,3.137,0.58,0.889,5.059,0.396,24841.488361999996
5.16,7.512,1.232,3.137,0.58,0.979,4.921,0.396,24527.252387
5.16,7.512,1.232,3.137,0.58,0.979,5.059,1.284,25061.79188
5.16,7.512,1.232,3.137,0.58,0.979,5.059,0.396,25574.256032
7.598,9.176,1.035,2.06,0.061,0.389,1.971,0.034,26980.961227999996
8.16,9.176,1.035,2.06,0.061,0.389,1.971,0.034,20479.28649
7.598,10.512,1.035,2.06,0.061,0.389,1.971,0.034,26692.266024
7.598,9.176,2.332,2.06,0.061,0.389,1.971,0.034,26867.559517
7.598,9.176,1.035,0.487,0.061,0.389,1.971,0.034,27111.555457000002
7.598,9.176,1.035,2.06,0.08,0.389,1.971,0.034,26328.976027999997
7.598,9.176,1.035,2.06,0.061,0.479,1.971,0.034,26588.545929
7.598,9.176,1.035,2.06,0.061,0.389,2.109,0.034,26386.167460999997
7.598,9.176,1.035,2.06,0.061,0.389,1.971,1.646,18446.69572
7.598,10.512,2.332,0.487,0.08,0.479,2.109,1.646,26676.975512999998
8.16,9.176,2.332,0.487,0.08,0.479,2.109,1.646,26764.647357
8.16,10.512,1.035,0.487,0.08,0.479,2.109,1.646,26625.308963000003
8.16,10.512,2.332,2.06,0.08,0.479,2.109,1.646,19012.934147
8.16,10.512,2.332,0.487,0.061,0.479,2.109,1.646,26714.845888
8.16,10.512,2.332,0.487,0.08,0.389,2.109,1.646,26792.456906
8.16,10.512,2.332,0.487,0.08,0.479,1.971,1.646,26318.428151
8.16,10.512,2.332,0.487,0.08,0.479,2.109,0.034,19018.493432
8.16,10.512,2.332,0.487,0.08,0.479,2.109,1.646,20154.400689000002
9.098,7.676,1.585,3.385,0.311,0.139,3.446,0.659,26502.66126
9.66,7.676,1.585,3.385,0.311,0.139,3.446,0.659,27160.275220000003
9.098,9.012,1.585,3.385,0.311,0.139,3.446,0.659,26847.907257
9.098,7.676,1.782,3.385,0.311,0.139,3.446,0.659,27337.489448000004
9.098,7.676,1.585,1.812,0.311,0.139,3.446,0.659,26671.703309
9.098,7.676,1.585,3.385,0.83,0.139,3.446,0.659,27093.735006
9.098,7.676,1.585,3.385,0.311,0.729,3.446,0.659,27223.289914
9.098,7.676,1.585,3.385,0.311,0.139,0.634,0.659,26381.133243
9.098,7.676,1.585,3.385,0.311,0.139,3.446,1.021,27019.861434
9.098,9.012,1.782,1.812,0.83,0.729,0.634,1.021,26888.431274000002
9.66,7.676,1.782,1.812,0.83,0.729,0.634,1.021,27158.437694
9.66,9.012,1.585,1.812,0.83,0.729,0.634,1.021,26518.516119
9.66,9.012,1.782,3.385,0.83,0.729,0.634,1.021,27410.375439
9.66,9.012,1.782,1.812,0.311,0.729,0.634,1.021,22027.994327
9.66,9.012,1.782,1.812,0.83,0.139,0.634,1.021,27243.276611
9.66,9.012,1.782,1.812,0.83,0.729,3.446,1.021,26955.357755999998
9.66,9.012,1.782,1.812,0.83,0.729,0.634,0.659,26604.087007
9.66,9.012,1.782,1.812,0.83,0.729,0.634,1.021,27483.593153
6.098,10.676,0.485,0.735,0.811,0.639,0.496,1.909,25657.812152000002
6.66,10.676,0.485,0.735,0.811,0.639,0.496,1.909,26889.359088
6.098,6.012,0.485,0.735,0.811,0.639,0.496,1.909,25990.996079
6.098,10.676,0.682,0.735,0.811,0.639,0.496,1.909,25875.476598
6.098,10.676,0.485,4.462,0.811,0.639,0.496,1.909,26213.560115
6.098,10.676,0.485,0.735,0.33,0.639,0.496,1.909,26177.564503
6.098,10.676,0.485,0.735,0.811,0.229,0.496,1.909,26147.463737
6.098,10.676,0.485,0.735,0.811,0.639,3.584,1.909,25965.859468000002
6.098,10.676,0.485,0.735,0.811,0.639,0.496,2.271,25678.362823000003
6.098,6.012,0.682,4.462,0.33,0.229,3.584,2.271,25883.802597
6.66,10.676,0.682,4.462,0.33,0.229,3.584,2.271,26190.160171999996
6.66,6.012,0.485,4.462,0.33,0.229,3.584,2.271,25710.975269
